namn1,namn2,pris,köp antal,tot pris,länk,stil,land,storlek,alkohol,antal i butik,sektion,hylla
Eriksberg,Karaktär,14.9,,,https://www.systembolaget.se/produkt/ol/eriksberg-8993715/,"Öl, Mellanmörk lager, Märzen och wienerstil",Sverige,330,5.4,462,31,14
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Brutal Brewing,A Ship Full of IPA,18.9,,,https://www.systembolaget.se/produkt/ol/brutal-brewing-8313015/,"Öl, Ale, India pale ale (IPA)",,330,5.8,407,32,09
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Dugges,Tropic Thunder Stillwater Artisanal,38.0,,,https://www.systembolaget.se/produkt/ol/dugges-3103215/,"Öl, Övrig syrlig öl",Sverige,330,4.5,40,32,06
,,,,,,,,,,,,
,,,,,,,,,,,,
Halmstad Crush,Mango Passion,17.5,,,https://www.systembolaget.se/produkt/cider-blanddrycker/halmstad-crush-172115/,"Blanddryck, Söt",Sverige,330,4.5,306,24,03
Liquid Industries,The Bellini Project,17.9,,,https://www.systembolaget.se/produkt/cider-blanddrycker/liquid-industries-108915/,"Blanddryck, Söt",Sverige,330,4.5,18,24,04
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
